Theme (Category),Topic (Title),"Question (What, Who, Where, Whose, How, Yes/No)",Answer,Difficulty (by Author),Difficulty (by Answerer),URL (Original Content)
学問,アリストテレス,アリストテレスは誰の弟子ですか？,プラトン,5,,https://ja.wikipedia.org/wiki/%E3%82%A2%E3%83%AA%E3%82%B9%E3%83%88%E3%83%86%E3%83%AC%E3%82%B9
学問,アリストテレス,アリストテレスは紀元前何年に出生しましたか？,紀元前384年,5,,https://ja.wikipedia.org/wiki/%E3%82%A2%E3%83%AA%E3%82%B9%E3%83%88%E3%83%86%E3%83%AC%E3%82%B9#幼少期
学問,アリストテレス,"紀元前367年,アリストテレスはどこに入門しましたか？",アカデメイア,5,,https://ja.wikipedia.org/wiki/%E3%82%A2%E3%83%AA%E3%82%B9%E3%83%88%E3%83%86%E3%83%AC%E3%82%B9#アカデメイア期
学問,アリストテレス,アリストテレスは師プラトンから何と評されましたか？,学校の精神,5,,https://ja.wikipedia.org/wiki/%E3%82%A2%E3%83%AA%E3%82%B9%E3%83%88%E3%83%86%E3%83%AC%E3%82%B9#アカデメイア期
学問,アリストテレス,アリストテレスは政治学を何と考えましたか？,倫理学の延長線上,5,,https://ja.wikipedia.org/wiki/%E3%82%A2%E3%83%AA%E3%82%B9%E3%83%88%E3%83%86%E3%83%AC%E3%82%B9#政治学
学問,アリストテレス,アリストテレスは、対話によって真実を追究していく問答法を哲学の唯一の方法論としましたか,いいえ,5,,https://ja.wikipedia.org/wiki/%E3%82%A2%E3%83%AA%E3%82%B9%E3%83%88%E3%83%86%E3%83%AC%E3%82%B9#論理学
学問,アリストテレス,アリストテレスはどこで病に倒れましたか,カルキス,5,,https://ja.wikipedia.org/wiki/%E3%82%A2%E3%83%AA%E3%82%B9%E3%83%88%E3%83%86%E3%83%AC%E3%82%B9#アレクサンドロス大王とリュケイオン
学問,アリストテレス,アリストテレスは学問体系を何に三分しましたか?,「理論」（テオリア）、「実践」（プラクシス）、「制作」（ポイエーシス）,5,,https://ja.wikipedia.org/wiki/%E3%82%A2%E3%83%AA%E3%82%B9%E3%83%88%E3%83%86%E3%83%AC%E3%82%B9#思想
学問,アリストテレス,アリストテレスの著作は公開を想定していなかったため、どのように書かれていますか？,簡潔な文体で,5,,https://ja.wikipedia.org/wiki/%E3%82%A2%E3%83%AA%E3%82%B9%E3%83%88%E3%83%86%E3%83%AC%E3%82%B9#思想
学問,アリストテレス,アリストテレスは、ひと目で見渡せる小規模のポリスを理想としましたか?,はい,5,,https://ja.wikipedia.org/wiki/%E3%82%A2%E3%83%AA%E3%82%B9%E3%83%88%E3%83%86%E3%83%AC%E3%82%B9#政治学
学問,トーマス・エジソン,トーマス・アルバ・エジソンはどこの国の発明家ですか？,アメリカ合衆国,2,,https://ja.wikipedia.org/wiki/%E3%83%88%E3%83%BC%E3%83%9E%E3%82%B9%E3%83%BB%E3%82%A8%E3%82%B8%E3%82%BD%E3%83%B3
学問,トーマス・エジソン,エジソンは誰から巨額の出資・援助をしてもらいましたか？,J・Pモルガン,4,,https://ja.wikipedia.org/wiki/%E3%83%88%E3%83%BC%E3%83%9E%E3%82%B9%E3%83%BB%E3%82%A8%E3%82%B8%E3%82%BD%E3%83%B3#発明家＆起業家
