Theme (Category),Topic (Title),"Question (What, Who, Where, Whose, How, Yes/No)",Answer,Difficulty (by Author),Difficulty (by Answerer),URL (Original Content)
地理,国際地理オリンピック,国際地理オリンピックの試験は，論述問題・マルチメディアともう一種類は何ですか？,フィールドワーク,5,,https://ja.wikipedia.org/wiki/国際地理オリンピック
地理,国際地理オリンピック,国際地理オリンピックの第1回大会はどこの国でおこなわれましたか？,オランダ,4,,https://ja.wikipedia.org/wiki/国際地理オリンピック#歴史
地理,国際地理オリンピック,国際地理オリンピックの第6回大会は何年におこなわれましたか？,2006,5,,https://ja.wikipedia.org/wiki/国際地理オリンピック#歴史
地理,国際地理オリンピック,1965年に大学生有志が始めた国際地理オリンピックのルーツとなった協議会はなんですか？,環バルト地理竸技会,5,,https://ja.wikipedia.org/wiki/国際地理オリンピック#歴史
地理,国際地理オリンピック,国際地理オリンピックへの参加資格があるのは高校生のみですか？,はい,4,,https://ja.wikipedia.org/wiki/国際地理オリンピック
地理,国際地理オリンピック,2008年に開催された国際地理オリンピックカルタゴ大会で１位になったのはどこの国ですか？,ルーマニア,5,,https://ja.wikipedia.org/wiki/国際地理オリンピック#参加国
地理,国際地理オリンピック,国際地理オリンピックの世界大会は2012年まで何年に1回おこなわれていましたか？,2,5,,https://ja.wikipedia.org/wiki/国際地理オリンピック#歴史
地理,国際地理オリンピック,2006年の国際地理オリンピックブリズベン大会で金メダルを授与されたのは何名ですか？,8,5,,https://ja.wikipedia.org/wiki/国際地理オリンピック#参加国
地理,国際地理オリンピック,2013年の第10回国際地理オリンピックは日本の何市でおこなわれましたか？,京都,5,,https://ja.wikipedia.org/wiki/国際地理オリンピック#会場および予定地
地理,国際地理オリンピック,2017年におこなわれた国際地理オリンピックは第何回目ですか？,14,5,,https://ja.wikipedia.org/wiki/国際地理オリンピック#会場および予定地
地理,本初子午線,本初子午線の「本初」とは「最初・首位」をという意味ですか？,はい,3,,https://ja.wikipedia.org/wiki/本初子午線
地理,本初子午線,1969〜70年代まで，国際的な本初子午線の基準となったのは何という天文台ですか？,グリニッジ天文台,2,,https://ja.wikipedia.org/wiki/本初子午線#グリニッジの本初子午線
地理,本初子午線,1884年10月，世界で共通に使用する「経度0度」を決めるために行われた国際子午線会議はどこで開催されましたか？,ワシントンD.C.,,,https://ja.wikipedia.org/wiki/本初子午線#歴史
地理,本初子午線,金星の本初子午線は何によって定義されていますか？,アリアドネ・クレーターの中央の丘,5,,https://ja.wikipedia.org/wiki/本初子午線#他の天体の本初子午線
地理,本初子午線,日本の基準子午線が東京の皇居（江戸城）富士見櫓を通る子午線に移されたのは何年ですか？,1871,5,,https://ja.wikipedia.org/wiki/本初子午線#歴史
