テーマ（カテゴリ）,トピック（タイトル）,"質問(What, Who, Where, Whose, How, Yes/No)",解答,難易度（出題者）,難易度（解答者）,URL（元文書）
社会,国際連合,国際連合は何年に設立されましたか？,1945年,3,,https://ja.wikipedia.org/wiki/%E5%9B%BD%E9%9A%9B%E9%80%A3%E5%90%88
社会,国際連合,国際連合は英語で何といいますか？,United Nation,3,,https://ja.wikipedia.org/wiki/%E5%9B%BD%E9%9A%9B%E9%80%A3%E5%90%88
社会,国際連合,国際連合の初代事務総長は誰ですか？,トリグブ・リー,4,,https://ja.wikipedia.org/wiki/%E5%9B%BD%E9%9A%9B%E9%80%A3%E5%90%88
社会,国際連合,国際連合の本部はどこにありますか？,ニューヨーク,2,,https://ja.wikipedia.org/wiki/%E5%9B%BD%E9%9A%9B%E9%80%A3%E5%90%88
社会,国際連合,国際連合の原加盟国の数は？,51,4,,https://ja.wikipedia.org/wiki/%E5%9B%BD%E9%9A%9B%E9%80%A3%E5%90%88
社会,国際連合,日本は安全保障理事会の常任理事国ですか？,いいえ,1,,https://ja.wikipedia.org/wiki/%E5%9B%BD%E9%9A%9B%E9%80%A3%E5%90%88
社会,アメリカ合衆国,アメリカには州がいくつありますか？,50,2,,https://ja.wikipedia.org/wiki/%E3%82%A2%E3%83%A1%E3%83%AA%E3%82%AB%E5%90%88%E8%A1%86%E5%9B%BD
社会,アメリカ合衆国,アメリカの初代大統領は誰ですか？,ジョージ・ワシントン,3,,https://ja.wikipedia.org/wiki/%E3%82%A2%E3%83%A1%E3%83%AA%E3%82%AB%E5%90%88%E8%A1%86%E5%9B%BD
社会,アメリカ合衆国,アメリカは何大国ですか？,経済大国,2,,https://ja.wikipedia.org/wiki/%E3%82%A2%E3%83%A1%E3%83%AA%E3%82%AB%E5%90%88%E8%A1%86%E5%9B%BD
社会,アメリカ合衆国,アメリカは何大国ですか？,軍事大国,2,,https://ja.wikipedia.org/wiki/%E3%82%A2%E3%83%A1%E3%83%AA%E3%82%AB%E5%90%88%E8%A1%86%E5%9B%BD
社会,アメリカ合衆国,1867年にロシアから購入した領土はどこですか？,アラスカ,4,,https://ja.wikipedia.org/wiki/%E3%82%A2%E3%83%A1%E3%83%AA%E3%82%AB%E5%90%88%E8%A1%86%E5%9B%BD
社会,アメリカ合衆国,ハワイ王国を併合したのはいつですか？,1898年,4,,https://ja.wikipedia.org/wiki/%E3%82%A2%E3%83%A1%E3%83%AA%E3%82%AB%E5%90%88%E8%A1%86%E5%9B%BD
社会,アメリカ合衆国,アメリカは連合国ですか？,はい,2,,https://ja.wikipedia.org/wiki/%E3%82%A2%E3%83%A1%E3%83%AA%E3%82%AB%E5%90%88%E8%A1%86%E5%9B%BD
社会,欧州連合,欧州連合は何条約によって設立されましたか？,マーストリヒト条約,4,,https://ja.wikipedia.org/wiki/%E6%AC%A7%E5%B7%9E%E9%80%A3%E5%90%88
社会,欧州連合,欧州連合の前身は何ですか？,欧州共同体,2,,https://ja.wikipedia.org/wiki/%E6%AC%A7%E5%B7%9E%E9%80%A3%E5%90%88
社会,欧州連合,ローマ条約発行時の加盟国数は？,6,4,,https://ja.wikipedia.org/wiki/%E6%AC%A7%E5%B7%9E%E9%80%A3%E5%90%88
社会,欧州連合,ノルウェーは加盟国ですか？,いいえ,3,,https://ja.wikipedia.org/wiki/%E6%AC%A7%E5%B7%9E%E9%80%A3%E5%90%88
社会,欧州連合,欧州理事会の初代議長は誰ですか？,ヘルマン・ファン・ロンパウ,3,,https://ja.wikipedia.org/wiki/%E6%AC%A7%E5%B7%9E%E9%80%A3%E5%90%88
社会,欧州連合,欧州連合は英語でなんといいますか？,European Union,2,,https://ja.wikipedia.org/wiki/%E6%AC%A7%E5%B7%9E%E9%80%A3%E5%90%88
社会,イギリス,イギリスの日本語での正式名称は何ですか？,グレート・ブリテン及び北部アイルランド連合王国,2,,https://ja.wikipedia.org/wiki/%E3%82%A4%E3%82%AE%E3%83%AA%E3%82%B9
社会,イギリス,イギリスの日本語での正式名称は何ですか？,グレート・ブリテン及び北アイルランド連合王国,2,,https://ja.wikipedia.org/wiki/%E3%82%A4%E3%82%AE%E3%83%AA%E3%82%B9
社会,イギリス,イギリスの英語での略称は何ですか？,United Kingdom,1,,https://ja.wikipedia.org/wiki/%E3%82%A4%E3%82%AE%E3%83%AA%E3%82%B9
社会,イギリス,イギリスの英語での略称は何ですか？,UK,1,,https://ja.wikipedia.org/wiki/%E3%82%A4%E3%82%AE%E3%83%AA%E3%82%B9
社会,イギリス,イギリスの首都はどこですか？,ロンドン,1,,https://ja.wikipedia.org/wiki/%E3%82%A4%E3%82%AE%E3%83%AA%E3%82%B9
社会,イギリス,イングランドに標高1000mを超える地点はありますか？,いいえ,4,,https://ja.wikipedia.org/wiki/%E3%82%A4%E3%82%AE%E3%83%AA%E3%82%B9
社会,イギリス,イングランドを征服したのは誰ですか？,ウィリアム征服王,4,,https://ja.wikipedia.org/wiki/%E3%82%A4%E3%82%AE%E3%83%AA%E3%82%B9
社会,イギリス,イギリスはいくつの島々からなりますか？,1098,5,,https://ja.wikipedia.org/wiki/%E3%82%A4%E3%82%AE%E3%83%AA%E3%82%B9
社会,日本,英語での公式な表記は何ですか？,Japan,1,,https://ja.wikipedia.org/wiki/%E4%B8%AD%E8%8F%AF%E4%BA%BA%E6%B0%91%E5%85%B1%E5%92%8C%E5%9B%BD
社会,日本,日本国憲法が施行されたのは何年ですか？,1947年,4,,https://ja.wikipedia.org/wiki/%E4%B8%AD%E8%8F%AF%E4%BA%BA%E6%B0%91%E5%85%B1%E5%92%8C%E5%9B%BD
社会,日本,日本の領土はいくつの島からなりますか？,6852,4,,https://ja.wikipedia.org/wiki/%E4%B8%AD%E8%8F%AF%E4%BA%BA%E6%B0%91%E5%85%B1%E5%92%8C%E5%9B%BD
