Theme (Category),Topic (Title),"Question (What, Who, Where, Whose, How, Yes/No)",Answer,Difficulty (by Author),Difficulty (by Answerer),URL (Original Content)
歴史,織田信長,織田信長が今川義元を打ちとった合戦は?,桶狭間の戦い,3,,https://ja.wikipedia.org/wiki/織田信長
歴史,織田信長,織田信長が焼き討ちにした寺は？,比叡山延暦寺,4,,https://ja.wikipedia.org/wiki/織田信長
歴史,織田信長,天正3年に起こった織田軍と武田軍の戦いは？,長篠の戦い,4,,https://ja.wikipedia.org/wiki/織田信長
歴史,織田信長,織田信長自身が指揮をして琵琶湖岸に建てた城は？,安土城,4,,https://ja.wikipedia.org/wiki/織田信長
歴史,織田信長,織田信長に謀反を起こした人物は？,明智光秀,2,,https://ja.wikipedia.org/wiki/織田信長
歴史,織田信長,織田信長が自害した場所は？,本能寺,2,,https://ja.wikipedia.org/wiki/織田信長
歴史,平安京,平安京に遷都は何年？,794年,2,,https://ja.wikipedia.org/wiki/平安京
歴史,平安京,平安京への遷都を宣言したのは何天皇？,桓武天皇,4,,https://ja.wikipedia.org/wiki/平安京
歴史,平安京,朱雀大路の南端にある門の名前は？,羅城門,3,,https://ja.wikipedia.org/wiki/平安京
歴史,平安京,平安京は現在の何県に当たるか？,京都府,2,,https://ja.wikipedia.org/wiki/平安京
歴史,平安京,平安京が置かれてから鎌倉幕府が成立するまでの約400年間を何時代？,平安時代,1,,https://ja.wikipedia.org/wiki/平安京
歴史,平安京,平安京は何に倣って作られた？,長安,3,,https://ja.wikipedia.org/wiki/平安京
歴史,森永ヒ素ミルク中毒事件,森永ヒ素ミルク中毒事件が起きたのは１９５５年であるか？,はい,4,,https://ja.wikipedia.org/wiki/森永ヒ素ミルク中毒事件
歴史,森永ヒ素ミルク中毒事件,森永ヒ素ミルク中毒事件の原因となった製品は？,粉ミルク,1,,https://ja.wikipedia.org/wiki/森永ヒ素ミルク中毒事件
歴史,森永ヒ素ミルク中毒事件,ヒ素の摂取による中毒症状は？,神経障害,5,,https://ja.wikipedia.org/wiki/森永ヒ素ミルク中毒事件
